;sun-coral coverage%;total richness;sessile richness;mobile richness;mobile abundance;Amathia brasiliensis coverage %;Schizoporella errata coverage %;sponge coverage %;Amathia verticillata coverage %;Crisia sp. coverage %;crustacean abundance;polychaeta abundance;ophiuroidea abundance;picnogonida abundance
1;59;12;7;5;310;16;10;5;0;0;38;272;0;0
2;58;22;12;10;342;10;5;12;5;0;49;284;9;0
3;44;23;13;10;147;21;10;6;0;2;42;90;11;4
4;36;22;12;10;353;27;4;14;0;0;32;309;8;4
5;29;21;10;11;424;28;8;7;0;9;55;361;5;3
6;27;22;11;11;304;44;1;14;3;0;68;149;83;4
7;23;20;10;10;726;48;1;8;0;2;86;619;13;8
8;22;24;15;9;312;36;3;19;1;1;92;215;3;2
9;20;23;15;8;108;54;3;1;0;3;14;91;3;0
10;3;23;10;13;512;61;3;8;9;0;209;280;20;3
