;sampling moment;location;average colony size (cm2)
1;jun/16;inside the marina;2,8626
2;jun/16;inside the marina;18,2686
3;jun/16;inside the marina;18,969
4;jun/16;inside the marina;25,9776
5;jun/16;inside the marina;58,5834
6;jun/16;inside the marina;15,2154
7;jun/16;inside the marina;25,33
8;jun/16;inside the marina;15,5448
9;jun/16;inside the marina;22,047
10;jun/16;inside the marina;14,63268
11;jun/16;inside the marina;8,1236
12;jun/16;inside the marina;13,937
13;jun/16;inside the marina;9,88
14;jun/16;inside the marina;20,0518
15;jun/16;inside the marina;13,6944
16;jun/16;inside the marina;9,3382
17;jun/16;inside the marina;9,4912
18;jun/16;inside the marina;15,4698
19;jun/16;inside the marina;10,0484
20;jun/16;inside the marina;14,8374
21;jun/16;breakwater;1,5574
22;jun/16;breakwater;1,086
23;jun/16;breakwater;2,306
24;jun/16;breakwater;2,857
25;jun/16;breakwater;9,554
26;jun/16;breakwater;3,378
27;jun/16;breakwater;6,696333333
28;jun/16;breakwater;2,9616
29;jun/16;breakwater;3,05
30;jun/16;breakwater;2,517
31;jun/16;breakwater;1,964
32;jun/16;breakwater;3,318
33;jun/16;breakwater;5,965
34;jun/16;breakwater;1,082
35;jan/17;inside the marina;6,2632
36;jan/17;inside the marina;5,8198
37;jan/17;inside the marina;7,0842
38;jan/17;inside the marina;3,8478
39;jan/17;inside the marina;8,0028
40;jan/17;inside the marina;6,899
41;jan/17;inside the marina;4,3076
42;jan/17;inside the marina;7,9634
43;jan/17;inside the marina;102,2492
44;jan/17;inside the marina;1,8208
45;jan/17;inside the marina;2,9722
46;jan/17;inside the marina;4,1382
47;jan/17;inside the marina;5,148
48;jan/17;inside the marina;3,5175
49;jan/17;inside the marina;1,7458
50;jan/17;inside the marina;0,9128
51;jan/17;inside the marina;3,967
52;jan/17;inside the marina;2,248
53;jan/17;inside the marina;3,9312
54;jan/17;inside the marina;2,5298
55;jan/17;breakwater;1,574
56;jan/17;breakwater;0,5754
57;jan/17;breakwater;1,924
58;jan/17;breakwater;0,73
59;jan/17;breakwater;1,7388
60;jan/17;breakwater;1,7882
61;jan/17;breakwater;1,4662
62;jan/17;breakwater;0,91
63;jan/17;breakwater;3,4285
64;jan/17;breakwater;2,4112
65;jan/17;breakwater;0,978
66;feb/19;inside the marina;2,497
67;feb/19;inside the marina;3,5632
68;feb/19;inside the marina;4,5838
69;feb/19;inside the marina;4,871
70;feb/19;inside the marina;2,1122
71;feb/19;inside the marina;9,5589
72;feb/19;inside the marina;3,8491
73;feb/19;inside the marina;2,5194
74;feb/19;inside the marina;5,7934
75;feb/19;inside the marina;5,1203
76;feb/19;inside the marina;11,2417
77;feb/19;inside the marina;6,9046
78;feb/19;inside the marina;6,652
79;feb/19;inside the marina;2,9802
80;feb/19;inside the marina;2,2824
81;feb/19;inside the marina;1,9126
82;feb/19;inside the marina;1,5133
83;feb/19;breakwater;4,839
84;feb/19;breakwater;4,2734
85;feb/19;breakwater;3,1344
86;feb/19;breakwater;9,5865
87;feb/19;breakwater;3,3425
88;feb/19;breakwater;5,553666667
89;feb/19;breakwater;4,5878
90;feb/19;breakwater;4,0593
91;feb/19;breakwater;2,8354
92;feb/19;breakwater;7,1307
93;feb/19;breakwater;4,8185
94;feb/19;breakwater;4,547
95;feb/19;breakwater;1,052
96;feb/19;breakwater;2,879
97;feb/19;breakwater;3,910666667
98;feb/19;breakwater;3,829714286
99;feb/19;breakwater;2,564333333
100;feb/19;breakwater;6,0388
